"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"CURRENT-MAX";"CURRENT-TRIP";"DESCRIPTION";"DOCUMENTATION_LINK";"DOCUMENTATION_URL";"FAMILY";"MANUFACTURER";"PACKAGE";"PART_NUMBER";"R_MINMAX";"SERIES";"SUPPLIER_ITEM_LINK";"SUPPLIER_ITEM_NUMBER";"SUPPLIER_ITEM_URL";"SUPPLIER_LINK";"SUPPLIER_NAME";"SUPPLIER_URL";"TIME_TO_TRIP";"VOLTAGE-MAX";
"1";"10n";"C-EUC0402";"C0402";"C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10u";"CPOL-EU153CLV-0405";"153CLV-0405";"C15";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1K";"R-EU_R0402";"R0402";"R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1u";"C-EUC0402";"C0402";"C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"22u";"CPOL-EU153CLV-0405";"153CLV-0405";"C11";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"282836-2";"282836-2";"282836-2";"U$1";"TYCO 282836-2 TERM BLOCK 2POS SIDE ENTRY 5MM EURISTYLE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MF-MSMF200";"MF-MSMF075/24";"1812";"F1";"PTC Resettable Fuse";"Circuit Protection";"40A";"1.5A";"PTC RESETTABLE .75A 24V 1812";"<a href="http://www.bourns.com/data/global/pdfs/mfmsmf.pdf">Datasheet</a>";"http://www.bourns.com/data/global/pdfs/mfmsmf.pdf";"PTC Resettable Fuses";"Bourns Inc.";"1812 (4532 Metric), Concave";"MF-MSMF075/24-2";"0.11 ~ 0.450 Ohm";"MF-MSMF";"<a href="http://www.digikey.com/product-detail/en/MF-MSMF075%2F24-2/MF-MSMF075%2F24-2CT-ND/662844">Details</a>";"MF-MSMF075/24-2CT-ND";"http://www.digikey.com/product-detail/en/MF-MSMF075%2F24-2/MF-MSMF075%2F24-2CT-ND/662844";"<a href="http://www.digikey.com">Home Page</a>";"Digi-Key";"http://www.digikey.com";"0.2s";"24V";
"2";"MI0805K601R-10";"L-EUL5650M";"L5650M";"FB1, FB2";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"H1, H2, H3, H4";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PJ-102AH/BH";"PJ-102AH/BH";"PJ-102XH";"J2";"DC Power Jack";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RASPBERRYPI-40-PIN-GPIO";"RASPBERRYPI-40-PIN-GPIO";"2X20-SHROUDED";"J3";"Second Generation Raspberry Pi GPIO Header";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SRP1250A-100M";"SRP1250A";"SRP1250A";"L3";"POWER INDUCTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TENDA_P200";"TENDA_P200";"TENDA_P200";"U4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"V7805-1000";"VR_1OUTXX";"DIP_3PIN";"IC1";"VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
