Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
"R2, R3",ERJ-2GE0R00X,2
"R7, R8, R9",ERJ-6GEY0R00V,3
"R13, R14, R16, R17",ERJ-2GEJ182X,4
R27,ERJ-3EKF10R0V ,1
"R1, R11, R12",ERJ-2GEJ104X,3
C1,EMK105B7104KV-F,1
"C8, C9, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C43",EMK107B7104KA-T,18
C17,EMK105B7103KV-F,1
"C2, C3, C6, C7, C10, C41",EMK212BJ106KG-T,6
C15,UUD1E100MCL1GS,1
"R10, R20, R32, R37",ERJ-3GEYJ123V,4
R33,ERJ-3EKF1242V,1
PCB1,1473005-4,1
R18,ERJ-2GEJ102X,1
"R25, R26",ERJ-3GEYJ102V,2
C16,EMK105BJ105KV-F,1
C42,EMK212B7105KG-T,1
"C21, C22, C23, C24",GRM1885C1H200JA01D,4
C11,UUD1A220MCL1GS,1
"U$1, U$2",282836-2,1
"L1, L2",SRN4018-4R7M,2
"R6, R15",ERJ-2GEJ471X,2
"C12, C13, C14",GRM31CR60J476ME19L,3
"R28, R29, R30, R31",ERJ-3EKF49R9V,4
K1,61400416021,1
Q3,DMG1012T-7,1
"FB2, FB3",742792022,2
LED2,LTST-C193KGKT-5A,1
ETHERNET,HR911105A,1
IC6,LAN9512-JZX,1
"JP2, JP3",M20-9980346,2
JP1,M20-9980446,1
JP4,M20-9990246,1
F1,MF-MSMF200-2,1
"FB1, FB4",HR2220V801R-10,2
U5,PAM2306AYPKE,1
LED1,LTST-C193KRKT-5A,1
"U1, U2",SFW15R-1STE1LF,2
L3,SRP1245A-100M,1
